<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
1/14/19	93100	62.15	62.22	62.15	62.16	700
1/14/19	93200	62.16	62.16	62.1	62.1	1081
1/14/19	93300	62.12	62.12	62.12	62.12	300
1/14/19	93400	62.1	62.1	62.1	62.1	375
1/14/19	93500	62.05	62.33	62.05	62.33	200
1/14/19	93600	62.36	62.46	62.36	62.46	200
1/14/19	93700	62.55	62.56	62.55	62.56	900
1/14/19	93800	62.76	62.76	62.74	62.74	200
1/14/19	93900	62.71	62.71	62.65	62.68	800
1/14/19	94000	62.71	62.71	62.71	62.71	502
1/14/19	94200	62.79	62.79	62.79	62.79	100
1/14/19	94400	62.74	62.74	62.74	62.74	500
1/14/19	94600	62.74	62.74	62.74	62.74	100
1/14/19	94700	62.76	62.76	62.76	62.76	100
1/14/19	95000	62.74	62.74	62.74	62.74	100
1/14/19	95100	62.77	62.77	62.68	62.68	800
1/14/19	95200	62.7	62.7	62.7	62.7	100
1/14/19	95300	62.78	62.78	62.78	62.78	100
1/14/19	95400	62.83	62.83	62.82	62.82	700
1/14/19	95500	62.77	62.77	62.76	62.76	200
1/14/19	95600	62.72	62.72	62.66	62.66	300
1/14/19	95800	62.64	62.64	62.64	62.64	100
1/14/19	95900	62.67	62.67	62.67	62.67	100
1/14/19	100100	62.69	62.69	62.66	62.66	200
1/14/19	100200	62.7	62.7	62.7	62.7	100
1/14/19	100300	62.73	62.73	62.73	62.73	100
1/14/19	100400	62.72	62.72	62.71	62.71	200
1/14/19	100500	62.88	62.88	62.88	62.88	100
1/14/19	100600	62.86	62.89	62.86	62.89	200
1/14/19	100700	62.89	62.92	62.89	62.92	200
1/14/19	100800	62.97	62.98	62.97	62.97	1300
1/14/19	101000	62.98	63.01	62.98	63.01	200
1/14/19	101100	63.05	63.05	63.05	63.05	500
1/14/19	101200	63.09	63.09	63.09	63.09	300
1/14/19	101300	63.07	63.07	63.07	63.07	100
1/14/19	101400	63.08	63.13	63.08	63.12	3479
1/14/19	101500	63.15	63.19	63.15	63.19	200
1/14/19	101700	63.1	63.1	63.1	63.1	100
1/14/19	101800	63.11	63.16	63.11	63.16	500
1/14/19	101900	63.17	63.17	63.17	63.17	200
1/14/19	102000	63.22	63.26	63.22	63.26	300
1/14/19	102100	63.28	63.28	63.23	63.23	200
1/14/19	102300	63.21	63.22	63.21	63.22	1100
1/14/19	102400	63.17	63.17	63.16	63.16	300
1/14/19	102500	63.18	63.23	63.18	63.23	500
1/14/19	102700	63.11	63.11	63.11	63.11	100
1/14/19	102800	63.12	63.12	63.12	63.12	100
1/14/19	103000	63.24	63.24	63.24	63.24	100
1/14/19	103100	63.23	63.23	63.23	63.23	100
1/14/19	103300	63.23	63.23	63.23	63.23	100
1/14/19	103400	63.11	63.24	63.11	63.24	300
1/14/19	103500	63.22	63.22	63.2	63.2	700
1/14/19	103700	63.09	63.09	63.09	63.09	100
1/14/19	103900	63.1	63.1	63.1	63.1	100
1/14/19	104200	63.07	63.08	63.07	63.08	200
1/14/19	104400	63.16	63.16	63.16	63.16	100
1/14/19	104600	63.18	63.18	63.18	63.18	100
1/14/19	105000	62.89	62.89	62.89	62.89	100
1/14/19	105100	62.96	62.96	62.96	62.96	100
1/14/19	105300	62.87	62.87	62.87	62.87	100
1/14/19	105400	62.85	62.85	62.85	62.85	100
1/14/19	105600	62.97	62.97	62.93	62.93	200
1/14/19	105700	63.03	63.03	63.03	63.03	100
1/14/19	105800	62.99	62.99	62.95	62.95	2300
1/14/19	105900	62.89	62.89	62.89	62.89	100
1/14/19	110100	62.9	62.9	62.89	62.89	400
1/14/19	110200	62.93	62.93	62.93	62.93	100
1/14/19	110300	62.95	62.95	62.95	62.95	200
1/14/19	110400	62.95	62.96	62.95	62.95	300
1/14/19	110500	62.97	62.97	62.97	62.97	100
1/14/19	110600	62.94	62.94	62.88	62.88	1000
1/14/19	110700	62.87	62.87	62.87	62.87	600
1/14/19	110800	62.78	62.78	62.78	62.78	100
1/14/19	111000	62.81	62.81	62.81	62.81	100
1/14/19	111100	62.81	62.82	62.8	62.8	300
1/14/19	111200	62.79	62.83	62.79	62.83	200
1/14/19	111300	62.8	62.8	62.8	62.8	100
1/14/19	111400	62.78	62.78	62.78	62.78	100
1/14/19	111500	62.81	62.825	62.78	62.78	400
1/14/19	111600	62.82	62.84	62.8	62.8	900
1/14/19	111700	62.78	62.78	62.7	62.7	900
1/14/19	111800	62.66	62.68	62.66	62.68	1300
1/14/19	111900	62.7	62.7	62.63	62.63	3055
1/14/19	112000	62.63	62.64	62.62	62.62	300
1/14/19	112100	62.63	62.63	62.63	62.63	400
1/14/19	112200	62.65	62.65	62.63	62.63	200
1/14/19	112300	62.64	62.64	62.61	62.61	200
1/14/19	112400	62.58	62.64	62.58	62.64	400
1/14/19	112500	62.65	62.65	62.65	62.65	100
1/14/19	112700	62.73	62.73	62.73	62.73	500
1/14/19	113000	62.77	62.77	62.77	62.77	100
1/14/19	113100	62.75	62.75	62.75	62.75	108
1/14/19	113300	62.77	62.77	62.77	62.77	100
1/14/19	113400	62.81	62.81	62.81	62.81	100
1/14/19	113500	62.81	62.81	62.81	62.81	200
1/14/19	113700	62.82	62.82	62.81	62.82	500
1/14/19	113800	62.82	62.84	62.82	62.84	1198
1/14/19	113900	62.84	62.86	62.82	62.84	2600
1/14/19	114000	62.88	62.88	62.88	62.88	300
1/14/19	114100	62.95	62.95	62.95	62.95	100
1/14/19	114500	63.02	63.03	63.02	63.03	300
1/14/19	114600	63.04	63.04	63.04	63.04	100
1/14/19	114900	62.95	62.95	62.95	62.95	100
1/14/19	115000	62.93	62.93	62.93	62.93	100
1/14/19	115100	62.96	62.96	62.96	62.96	100
1/14/19	115200	62.95	62.95	62.95	62.95	100
1/14/19	115600	62.83	62.83	62.83	62.83	100
1/14/19	115900	62.85	62.86	62.85	62.86	400
1/14/19	120000	62.83	62.83	62.83	62.83	100
1/14/19	120100	62.85	62.85	62.85	62.85	100
1/14/19	120200	62.89	62.89	62.89	62.89	100
